12.2862 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
13.1071 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f521a3a6780>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f521a394828>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.1071 	EXP 	window1: recordFrameIntervals = False
13.2719 	EXP 	window1: recordFrameIntervals = True
13.5566 	EXP 	window1: recordFrameIntervals = False
13.6114 	EXP 	Created Przywitanie = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Przywitanie', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Cześć! Odpowiadaj "Tak" albo "Nie"', units='norm', win=Window(...), wrapWidth=1)
13.6161 	EXP 	Created Odczytpytania = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Odczytpytania', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
13.6197 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([255., 255., 255.]), text='Przerwa', units='norm', win=Window(...), wrapWidth=1)
13.6202 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='norm', win=Window(...), wrapWidth=1)
13.6251 	EXP 	Przywitanie: autoDraw = True
15.9395 	DATA 	Keypress: space
15.9499 	EXP 	Imported pytania.xlsx as conditions, 30 conditions, 1 params
15.9502 	EXP 	Created sequence: random, trialTypes=30, nReps=1, seed=None
15.9505 	EXP 	New trial (rep=0, index=0): OrderedDict([('Pytania', 'Czy przepłaciłeś za sprzęt komputerowy?')])
15.9631 	EXP 	Przywitanie: autoDraw = False
15.9631 	EXP 	Odczytpytania: text = 'Czy przepłaciłeś za sprzęt komputerowy?'
15.9631 	EXP 	text_4: autoDraw = True
15.9631 	EXP 	text_6: autoDraw = True
20.9575 	EXP 	text_4: autoDraw = False
20.9742 	EXP 	Odczytpytania: autoDraw = True
24.9461 	DATA 	Keypress: n
29.9467 	EXP 	New trial (rep=0, index=1): OrderedDict([('Pytania', 'Czy lubisz brokuły?')])
29.9647 	EXP 	Odczytpytania: autoDraw = False
29.9647 	EXP 	text_4: autoDraw = False
29.9647 	EXP 	text_6: autoDraw = False
29.9647 	EXP 	Odczytpytania: text = 'Czy lubisz brokuły?'
29.9647 	EXP 	text_4: autoDraw = True
29.9647 	EXP 	text_6: autoDraw = True
34.9629 	EXP 	text_4: autoDraw = False
34.9789 	EXP 	Odczytpytania: autoDraw = True
37.8139 	DATA 	Keypress: t
43.9491 	EXP 	New trial (rep=0, index=2): OrderedDict([('Pytania', 'Czy masz kota?')])
43.9676 	EXP 	Odczytpytania: autoDraw = False
43.9676 	EXP 	text_4: autoDraw = False
43.9676 	EXP 	text_6: autoDraw = False
43.9676 	EXP 	Odczytpytania: text = 'Czy masz kota?'
43.9676 	EXP 	text_4: autoDraw = True
43.9676 	EXP 	text_6: autoDraw = True
48.9679 	EXP 	Odczytpytania: autoDraw = True
